geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e
25245,ZCTA5 25245,600,600,0,0,0,0,0,57895,70
25268,ZCTA5 25268,964,957,0,0,0,0,0,27200,250
25286,ZCTA5 25286,1700,1598,0,0,0,0,5,38313,483
25303,ZCTA5 25303,6764,5605,624,229,95,0,89,58820,707
25311,ZCTA5 25311,10964,8343,1664,88,42,0,163,40920,2654
25419,ZCTA5 25419,11062,9668,370,232,0,0,527,70019,983
25434,ZCTA5 25434,2821,2573,93,21,0,0,0,57339,472
25446,ZCTA5 25446,1193,936,13,30,75,0,139,122557,72
25106,ZCTA5 25106,598,598,0,0,0,0,0,19922,167
25501,ZCTA5 25501,1198,1165,0,0,0,0,33,49056,175
25507,ZCTA5 25507,776,766,4,0,0,0,3,36923,85
25515,ZCTA5 25515,2042,2023,0,0,19,0,0,46597,244
25520,ZCTA5 25520,1497,1465,0,0,0,0,15,60474,173
25535,ZCTA5 25535,2796,2619,23,5,0,0,0,62231,202
25564,ZCTA5 25564,1174,1174,0,0,0,0,0,63844,171
25601,ZCTA5 25601,5565,5210,157,11,0,3,66,47973,928
25606,ZCTA5 25606,1531,1451,67,0,13,0,0,42679,519
25608,ZCTA5 25608,1108,1089,0,19,0,0,0,47589,195
25617,ZCTA5 25617,706,704,2,0,0,0,0,32945,178
25621,ZCTA5 25621,1626,1626,0,0,0,0,0,34583,334
25628,ZCTA5 25628,193,193,0,0,0,0,0,31838,92
25632,ZCTA5 25632,374,351,0,0,0,0,0,17431,201
25644,ZCTA5 25644,282,282,0,0,0,0,0,20547,189
25671,ZCTA5 25671,1471,1471,0,0,0,0,0,35602,523
25817,ZCTA5 25817,708,673,0,0,0,0,0,55938,182
25818,ZCTA5 25818,457,457,0,0,0,0,0,36544,145
25836,ZCTA5 25836,394,394,0,0,0,0,0,NA,328
25843,ZCTA5 25843,1101,1101,0,0,0,0,0,NA,299
25666,ZCTA5 25666,544,544,0,0,0,0,0,30052,250
25650,ZCTA5 25650,215,215,0,0,0,0,0,28224,42
