geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e
26541,ZCTA5 26541,2739,2667,60,0,0,0,12,63176,146
26576,ZCTA5 26576,616,573,0,0,0,0,43,NA,133
26627,ZCTA5 26627,344,344,0,0,0,0,0,16496,253
26629,ZCTA5 26629,307,271,0,0,0,19,0,51154,21
26676,ZCTA5 26676,400,400,0,0,0,0,0,58235,0
26680,ZCTA5 26680,338,338,0,0,0,0,0,NA,165
26714,ZCTA5 26714,422,422,0,0,0,0,0,NA,133
26726,ZCTA5 26726,12604,11431,658,45,0,22,199,47920,1836
26731,ZCTA5 26731,423,423,0,0,0,0,0,52833,14
26753,ZCTA5 26753,6049,5967,18,51,4,0,0,51927,1021
26757,ZCTA5 26757,6655,6246,234,0,4,0,109,41759,1181
26804,ZCTA5 26804,672,646,17,0,0,0,9,34458,143
26823,ZCTA5 26823,141,141,0,0,0,0,0,NA,106
26855,ZCTA5 26855,564,564,0,0,0,0,0,38281,55
26003,ZCTA5 26003,41198,37996,1603,307,149,0,393,50467,4715
26031,ZCTA5 26031,1562,1474,68,0,0,0,9,35851,211
26150,ZCTA5 26150,6362,6031,68,28,0,0,82,55665,634
26152,ZCTA5 26152,118,118,0,0,0,0,0,NA,0
26159,ZCTA5 26159,3325,3258,10,0,0,0,0,49313,598
26180,ZCTA5 26180,2341,2318,0,0,12,0,0,44309,456
26184,ZCTA5 26184,2744,2697,16,0,13,0,18,64946,312
26217,ZCTA5 26217,220,220,0,0,0,0,0,NA,83
26224,ZCTA5 26224,268,268,0,0,0,0,0,70324,20
26259,ZCTA5 26259,31,31,0,0,0,0,0,NA,31
26269,ZCTA5 26269,821,818,0,0,0,0,0,50909,34
26278,ZCTA5 26278,622,611,0,0,0,0,11,53476,29
26294,ZCTA5 26294,883,871,12,0,0,0,0,39688,133
26327,ZCTA5 26327,68,68,0,0,0,0,0,NA,0
28119,ZCTA5 28119,2391,686,1444,0,0,0,253,37500,293
26034,ZCTA5 26034,4203,4115,0,0,0,0,0,45397,577
26037,ZCTA5 26037,6487,6238,45,0,0,0,83,54639,916
26062,ZCTA5 26062,20764,19141,671,117,6,58,300,50036,2695
26143,ZCTA5 26143,4291,4248,15,0,0,0,18,45000,854
26149,ZCTA5 26149,1977,1955,0,0,14,0,8,37813,372
26201,ZCTA5 26201,19919,18958,443,28,15,0,317,43183,3377
26266,ZCTA5 26266,78,78,0,0,0,0,0,NA,21
26267,ZCTA5 26267,308,308,0,0,0,0,0,51964,23
26292,ZCTA5 26292,636,633,0,3,0,0,0,40625,58
26320,ZCTA5 26320,532,528,0,0,4,0,0,42292,63
26347,ZCTA5 26347,2576,2483,11,0,0,0,58,52955,699
26385,ZCTA5 26385,4203,4127,5,0,0,0,54,69033,320
26411,ZCTA5 26411,922,922,0,0,0,0,0,64565,24
26419,ZCTA5 26419,1055,905,146,0,0,0,0,39758,178
26430,ZCTA5 26430,438,388,26,6,0,0,12,48194,54
26440,ZCTA5 26440,1302,1253,11,0,0,0,0,39792,203
26447,ZCTA5 26447,1379,1337,0,0,0,0,7,41250,151
26519,ZCTA5 26519,2085,1938,0,0,135,0,0,47340,472
26554,ZCTA5 26554,41702,38120,1716,278,21,0,534,51574,6837
26570,ZCTA5 26570,3554,3505,0,0,49,0,0,49016,260
26587,ZCTA5 26587,423,423,0,0,0,0,0,75000,79
26611,ZCTA5 26611,239,239,0,0,0,0,0,34722,9
26623,ZCTA5 26623,1103,1103,0,0,0,0,0,53365,174
26624,ZCTA5 26624,2729,2669,55,0,0,0,0,42318,426
26443,ZCTA5 26443,349,335,0,0,0,0,0,78125,26
26562,ZCTA5 26562,379,379,0,0,0,0,0,55714,45
26621,ZCTA5 26621,792,788,0,0,0,0,4,48657,176
26833,ZCTA5 26833,2131,2089,42,0,0,0,0,48929,171
26169,ZCTA5 26169,656,639,0,17,0,0,0,66154,126
26291,ZCTA5 26291,176,176,0,0,0,0,0,99375,0
26408,ZCTA5 26408,3158,3049,20,0,0,0,75,85550,193
26705,ZCTA5 26705,606,606,0,0,0,0,0,47679,60
26707,ZCTA5 26707,256,235,21,0,0,0,0,43162,60
26719,ZCTA5 26719,3053,3018,0,12,0,0,23,65924,198
26801,ZCTA5 26801,770,770,0,0,0,0,0,38397,75
26808,ZCTA5 26808,813,813,0,0,0,0,0,74485,67
26814,ZCTA5 26814,453,447,0,0,0,0,6,39792,148
26836,ZCTA5 26836,7080,5901,597,227,84,0,189,44840,1101
26852,ZCTA5 26852,742,707,1,0,0,0,11,NA,147
26374,ZCTA5 26374,1220,1220,0,0,0,0,0,57202,184
26537,ZCTA5 26537,5247,5016,122,54,0,5,44,45878,1066
26710,ZCTA5 26710,2258,2254,4,0,0,0,0,59561,241
26716,ZCTA5 26716,728,728,0,0,0,0,0,52232,0
26717,ZCTA5 26717,869,869,0,0,0,0,0,40586,43
26743,ZCTA5 26743,1486,1486,0,0,0,0,0,54400,78
26750,ZCTA5 26750,778,425,227,0,0,0,28,34737,153
26560,ZCTA5 26560,171,171,0,0,0,0,0,78095,34
26335,ZCTA5 26335,1887,1881,0,0,0,0,6,60000,464
26254,ZCTA5 26254,189,189,0,0,0,0,0,30956,0
26563,ZCTA5 26563,437,273,103,0,61,0,0,34167,0
26591,ZCTA5 26591,1493,1472,0,0,0,0,0,64554,76
26178,ZCTA5 26178,239,239,0,0,0,0,0,38375,25
26425,ZCTA5 26425,912,908,0,0,0,2,0,39333,168
26559,ZCTA5 26559,1216,1115,44,0,0,0,47,62250,139
26631,ZCTA5 26631,302,302,0,0,0,0,0,19397,199
26030,ZCTA5 26030,590,562,7,6,0,0,0,52031,118
26170,ZCTA5 26170,6275,5896,14,0,0,0,220,50078,813
26268,ZCTA5 26268,33,33,0,0,0,0,0,NA,0
17953,ZCTA5 17953,427,422,0,3,0,0,0,43056,41
26321,ZCTA5 26321,317,317,0,0,0,0,0,25833,106
26412,ZCTA5 26412,517,501,0,0,0,0,0,NA,133
27890,ZCTA5 27890,2685,480,2176,0,0,0,12,31224,985
27958,ZCTA5 27958,11354,9760,619,75,61,0,392,86250,777
27101,ZCTA5 27101,19713,7830,8922,322,43,0,2014,34477,5268
27283,ZCTA5 27283,3194,2729,148,24,0,0,266,59102,414
27834,ZCTA5 27834,57258,19399,31286,810,74,15,4055,39042,15506
27873,ZCTA5 27873,413,173,179,0,0,0,53,53750,56
27925,ZCTA5 27925,4003,2140,1453,18,37,0,284,38145,749
27973,ZCTA5 27973,1205,1088,76,0,0,0,0,58750,84
27110,ZCTA5 27110,2723,443,2005,112,0,0,57,NA,0
27201,ZCTA5 27201,66,66,0,0,0,0,0,NA,0
27205,ZCTA5 27205,34805,28580,1171,341,206,14,3949,53212,4575
27332,ZCTA5 27332,30743,18813,5643,351,504,43,4712,57459,4150
27340,ZCTA5 27340,43,37,0,0,0,0,0,NA,0
27517,ZCTA5 27517,25355,18710,2679,1559,90,0,1757,91985,1895
27518,ZCTA5 27518,20102,15708,1394,2051,12,0,546,106721,577
27519,ZCTA5 27519,56482,28951,4140,18939,289,31,2410,133227,1984
27523,ZCTA5 27523,12441,8718,730,1512,59,0,962,103250,762
27527,ZCTA5 27527,25337,18951,2605,214,22,58,2686,90625,1213
27531,ZCTA5 27531,778,297,218,105,0,25,86,NA,0
27537,ZCTA5 27537,23736,11634,9390,74,33,0,2213,45367,3985
27539,ZCTA5 27539,23970,17081,2476,1131,7,0,2634,109664,1177
27556,ZCTA5 27556,238,75,151,0,0,0,0,NA,29
27574,ZCTA5 27574,14036,10557,2874,43,99,4,230,51771,1431
27617,ZCTA5 27617,20281,12656,3966,1434,0,30,1582,86404,1281
27709,ZCTA5 27709,1152,506,229,376,0,0,15,162019,39
27825,ZCTA5 27825,46,39,7,0,0,0,0,38750,15
27861,ZCTA5 27861,44,0,44,0,0,0,0,27917,0
27879,ZCTA5 27879,316,121,170,0,2,0,11,55435,39
27881,ZCTA5 27881,146,111,35,0,0,0,0,50385,13
27978,ZCTA5 27978,184,176,0,0,0,0,8,22240,46
27577,ZCTA5 27577,26875,15373,5628,85,27,0,4914,48084,4666
27016,ZCTA5 27016,1339,1243,20,7,0,0,43,46250,244
27326,ZCTA5 27326,2900,2219,582,0,0,0,74,44909,522
27356,ZCTA5 27356,2759,2388,63,12,1,0,295,52891,211
27408,ZCTA5 27408,18323,15370,1814,253,0,0,530,68542,1959
27504,ZCTA5 27504,15593,10798,1828,16,57,0,2660,50911,3377
27513,ZCTA5 27513,45542,30631,3529,6376,153,90,3469,96913,2367
27520,ZCTA5 27520,42387,28434,8016,371,242,0,4439,71008,3333
27525,ZCTA5 27525,14819,8343,4579,0,65,0,1355,49406,3003
27530,ZCTA5 27530,38940,19789,15087,252,169,9,2639,39672,8877
27534,ZCTA5 27534,32492,17303,10487,1010,87,15,2269,48113,4109
27536,ZCTA5 27536,16522,3976,10824,212,105,25,1001,30960,4458
27540,ZCTA5 27540,39675,29269,4365,896,117,23,3159,109404,1664
27560,ZCTA5 27560,35800,13118,6221,12878,102,0,2096,96830,2647
27587,ZCTA5 27587,68491,52834,8393,1115,31,0,3808,96588,3406
27866,ZCTA5 27866,961,311,565,0,0,0,85,56300,307
27892,ZCTA5 27892,14217,8106,5457,131,10,0,386,41466,2582
27924,ZCTA5 27924,3568,1743,1805,2,1,1,16,34160,341
27928,ZCTA5 27928,1717,1099,490,26,0,0,67,38672,180
27935,ZCTA5 27935,1879,1339,482,0,17,0,0,55526,221
27937,ZCTA5 27937,4448,2729,1499,60,70,0,0,53487,721
27962,ZCTA5 27962,7696,3149,3940,0,4,0,334,35423,1748
26234,ZCTA5 26234,1319,1303,9,0,0,0,7,35022,286
27850,ZCTA5 27850,7410,4534,2367,22,115,28,175,44929,1071
27871,ZCTA5 27871,4293,1595,2293,8,18,0,349,35000,881
27874,ZCTA5 27874,3837,1379,2393,8,0,0,6,37188,840
17025,ZCTA5 17025,16651,14704,657,539,0,0,389,64430,1272
28144,ZCTA5 28144,24858,11842,10271,44,62,0,2086,43701,4443
28150,ZCTA5 28150,26965,17254,8166,222,0,0,1008,38740,6489
28168,ZCTA5 28168,10415,9692,148,45,36,0,388,52541,1227
28173,ZCTA5 28173,59559,45679,4815,4000,50,3,3491,125591,2133
28205,ZCTA5 28205,48798,21863,13419,2436,170,260,9392,52766,10033
28214,ZCTA5 28214,42412,13487,18845,2609,43,19,6325,62697,5069
28307,ZCTA5 28307,17065,9160,2740,367,123,57,3728,40015,1422
28315,ZCTA5 28315,13303,8135,3143,177,467,0,983,51404,2247
28318,ZCTA5 28318,4250,3220,360,28,146,0,468,51786,149
28320,ZCTA5 28320,9233,6977,1897,0,35,0,223,45753,1308
28333,ZCTA5 28333,10902,2567,4469,36,25,0,3677,29773,4465
28730,ZCTA5 28730,9221,8255,177,0,45,0,642,59101,747
28480,ZCTA5 28480,2599,2476,5,0,12,0,42,108684,228
28715,ZCTA5 28715,26476,23362,307,129,70,0,2110,54157,3475
28716,ZCTA5 28716,17770,16360,156,51,38,0,788,49703,2789
28729,ZCTA5 28729,3114,3030,0,84,0,0,0,51328,124
28732,ZCTA5 28732,18107,15586,1208,380,29,0,760,64659,1254
28733,ZCTA5 28733,27,22,0,0,5,0,0,NA,0
28001,ZCTA5 28001,26557,20269,3846,430,45,0,1425,49205,4650
28007,ZCTA5 28007,720,57,645,0,0,0,18,50163,103
28018,ZCTA5 28018,5234,5031,77,5,7,0,108,44231,716
28020,ZCTA5 28020,2354,2197,0,125,0,0,8,47667,308
28025,ZCTA5 28025,54425,35179,10095,630,52,77,7223,55443,7568
28072,ZCTA5 28072,1527,1249,172,0,0,0,100,48571,138
28432,ZCTA5 28432,1407,1407,0,0,0,0,0,41042,195
28394,ZCTA5 28394,5547,4269,784,33,6,0,224,59395,670
28395,ZCTA5 28395,2046,1442,332,3,62,0,72,55000,268
28411,ZCTA5 28411,39019,33202,2943,490,21,0,1828,74096,3317
28436,ZCTA5 28436,2090,1486,332,7,44,0,162,49189,203
28441,ZCTA5 28441,3396,1273,973,0,32,0,1072,28716,1347
28443,ZCTA5 28443,23266,21118,727,115,43,0,495,73340,1739
28452,ZCTA5 28452,899,608,291,0,0,0,0,19954,359
28458,ZCTA5 28458,6761,2874,2817,9,26,0,983,39858,1211
28463,ZCTA5 28463,9116,5162,2964,21,137,0,682,33852,1841
28479,ZCTA5 28479,7561,5841,918,41,6,0,154,62292,850
28510,ZCTA5 28510,1508,1218,178,20,8,0,78,60208,143
28512,ZCTA5 28512,3211,3087,24,0,6,0,68,62109,183
28515,ZCTA5 28515,2606,1273,1093,9,11,0,184,35154,395
28421,ZCTA5 28421,1610,1098,274,0,0,0,206,43500,274
28422,ZCTA5 28422,8116,6447,932,25,187,0,465,54685,1244
28423,ZCTA5 28423,2421,622,737,13,828,1,166,40734,484
28430,ZCTA5 28430,2298,1724,445,0,11,0,118,39750,370
28445,ZCTA5 28445,7196,6368,100,11,57,0,399,66237,876
28448,ZCTA5 28448,902,678,102,0,0,0,111,26250,326
28449,ZCTA5 28449,1778,1733,0,0,0,0,35,81875,85
28468,ZCTA5 28468,5235,4793,77,56,0,0,110,55574,743
28745,ZCTA5 28745,417,417,0,0,0,0,0,65988,0
28751,ZCTA5 28751,3473,3210,42,10,25,0,182,50739,361
28752,ZCTA5 28752,30924,26050,1482,234,127,0,2384,45339,5018
28768,ZCTA5 28768,7504,6903,327,10,1,0,216,58115,843
28805,ZCTA5 28805,19952,16225,1880,40,121,0,1415,51440,2109
28906,ZCTA5 28906,19701,17867,223,177,269,0,671,43825,2944
28077,ZCTA5 28077,467,449,9,6,0,0,0,18950,224
28097,ZCTA5 28097,6078,5683,114,0,0,0,183,54505,590
28103,ZCTA5 28103,11281,8341,1983,93,40,0,685,61532,844
28105,ZCTA5 28105,46180,33121,4973,2498,219,0,4078,78620,2861
28110,ZCTA5 28110,53733,35222,7256,334,101,24,9876,62279,7302
28124,ZCTA5 28124,5946,5707,87,77,0,0,35,68825,400
19140,ZCTA5 19140,51766,1629,27267,688,13,8,21360,22790,20958
17009,ZCTA5 17009,1958,1931,22,0,0,0,0,55250,139
17010,ZCTA5 17010,373,373,0,0,0,0,0,NA,0
17033,ZCTA5 17033,17751,14297,578,841,5,0,1838,72219,1465
17044,ZCTA5 17044,20986,19595,120,117,87,0,601,48832,3087
17829,ZCTA5 17829,244,239,0,5,0,0,0,63750,12
17832,ZCTA5 17832,803,803,0,0,0,0,0,47833,72
17835,ZCTA5 17835,415,403,0,12,0,0,0,71667,27
17845,ZCTA5 17845,2170,2030,46,0,0,0,94,54766,385
17861,ZCTA5 17861,169,169,0,0,0,0,0,89167,0
17866,ZCTA5 17866,10297,8122,1342,46,0,14,682,37352,1586
17929,ZCTA5 17929,1554,1412,34,13,0,0,69,58913,170
17002,ZCTA5 17002,815,810,5,0,0,0,0,55179,117
17005,ZCTA5 17005,339,313,0,0,0,0,26,55139,36
17006,ZCTA5 17006,1105,1064,0,10,9,0,20,52778,160
17020,ZCTA5 17020,9147,8710,38,57,19,0,161,66295,835
17035,ZCTA5 17035,934,921,10,0,0,0,3,51948,118
17047,ZCTA5 17047,2654,2477,71,0,5,0,49,55227,235
17061,ZCTA5 17061,7188,6955,36,88,30,0,76,55114,633
17065,ZCTA5 17065,3782,3267,183,11,0,0,257,56118,243
17087,ZCTA5 17087,2739,2589,7,3,0,0,98,68571,159
17104,ZCTA5 17104,20208,3693,9279,777,0,0,6012,38115,5887
17213,ZCTA5 17213,627,627,0,0,0,0,0,49028,92
17214,ZCTA5 17214,819,801,18,0,0,0,0,39154,52
17215,ZCTA5 17215,286,286,0,0,0,0,0,64219,10
17222,ZCTA5 17222,11576,10317,134,104,34,0,638,64897,971
17225,ZCTA5 17225,20844,19179,363,190,0,0,647,74440,686
17302,ZCTA5 17302,2431,2308,42,24,0,0,32,65066,163
17340,ZCTA5 17340,11083,10375,169,15,11,0,278,72656,466
17355,ZCTA5 17355,259,244,11,0,0,0,4,67188,14
17403,ZCTA5 17403,40216,25129,4764,1046,16,0,8050,53852,7107
17516,ZCTA5 17516,4469,4246,0,0,0,0,153,71477,171
17538,ZCTA5 17538,6669,5646,179,14,0,0,693,89358,272
17554,ZCTA5 17554,7877,5870,472,141,0,0,1184,65338,1053
17557,ZCTA5 17557,14668,13479,96,89,0,0,688,61142,1121
17565,ZCTA5 17565,2675,2620,0,0,15,0,40,86726,68
17569,ZCTA5 17569,5834,5477,0,32,116,0,162,84013,334
17601,ZCTA5 17601,52552,42033,1954,2252,34,0,5053,74925,3062
17602,ZCTA5 17602,50417,27529,5568,2111,88,14,14067,56381,8792
17721,ZCTA5 17721,1579,1547,1,11,0,0,0,45741,188
17739,ZCTA5 17739,32,32,0,0,0,0,0,76250,3
17758,ZCTA5 17758,981,974,0,0,0,0,3,50526,81
17810,ZCTA5 17810,5803,3192,1529,49,106,0,769,56125,578
17823,ZCTA5 17823,1258,1244,1,2,0,0,0,60568,167
17887,ZCTA5 17887,227,191,0,0,0,0,0,45382,87
17921,ZCTA5 17921,7321,5923,826,3,59,0,399,51090,627
17923,ZCTA5 17923,438,438,0,0,0,0,0,60048,58
17933,ZCTA5 17933,135,135,0,0,0,0,0,118864,0
17935,ZCTA5 17935,1595,1488,0,0,26,0,77,34330,493
17959,ZCTA5 17959,1362,1291,10,2,7,0,52,51750,150
17960,ZCTA5 17960,4114,3894,50,29,0,0,118,67708,252
17972,ZCTA5 17972,11308,10962,34,68,0,0,123,61206,472
17965,ZCTA5 17965,1989,1910,0,7,0,0,72,48750,237
17978,ZCTA5 17978,286,280,0,0,0,0,0,39306,60
17820,ZCTA5 17820,5616,5401,7,6,10,0,65,57978,599
17776,ZCTA5 17776,264,261,0,0,0,0,0,50694,9
17812,ZCTA5 17812,1258,1239,3,0,0,0,0,43542,166
17311,ZCTA5 17311,193,193,0,0,0,0,0,46875,34
17314,ZCTA5 17314,6304,5964,140,0,31,0,105,77015,650
20012,ZCTA5 20012,17576,4230,9383,216,0,0,3182,101859,1287
17090,ZCTA5 17090,5645,5484,88,0,22,0,0,59650,506
17265,ZCTA5 17265,667,667,0,0,0,0,0,57656,42
17028,ZCTA5 17028,3703,3494,32,2,0,0,161,56890,347
17067,ZCTA5 17067,15389,14625,152,0,31,0,444,62529,995
17228,ZCTA5 17228,1154,1147,0,0,3,0,0,55833,106
17886,ZCTA5 17886,1630,859,54,10,0,0,654,39120,726
17964,ZCTA5 17964,801,783,0,0,0,0,12,48289,73
17083,ZCTA5 17083,97,97,0,0,0,0,0,NA,0
17221,ZCTA5 17221,577,577,0,0,0,0,0,42813,57
17327,ZCTA5 17327,7590,7335,26,18,0,0,152,77593,661
17509,ZCTA5 17509,4822,4619,73,24,0,0,39,68788,725
17762,ZCTA5 17762,469,445,0,0,6,0,14,60000,22
17860,ZCTA5 17860,2633,2586,0,0,0,0,47,71853,115
17764,ZCTA5 17764,2294,2188,15,0,5,0,70,35268,657
17814,ZCTA5 17814,4899,4486,144,25,0,0,164,54194,579
17830,ZCTA5 17830,1913,1863,0,0,0,0,25,58854,181
17938,ZCTA5 17938,2308,2280,0,0,0,0,11,70701,148
17985,ZCTA5 17985,1204,1165,12,0,0,0,22,58563,102
17744,ZCTA5 17744,2996,2927,5,0,0,5,30,51859,202
17868,ZCTA5 17868,1135,1044,25,12,0,0,0,65197,31
17980,ZCTA5 17980,3037,2986,2,0,4,0,27,60184,274
17015,ZCTA5 17015,20923,19980,195,282,0,0,83,79137,788
17030,ZCTA5 17030,859,787,16,15,0,0,39,60714,95
17039,ZCTA5 17039,67,67,0,0,0,0,0,NA,0
17050,ZCTA5 17050,38141,30886,548,4789,74,15,1142,93552,1502
17056,ZCTA5 17056,45,45,0,0,0,0,0,NA,10
17071,ZCTA5 17071,121,120,0,0,0,0,0,66250,18
17120,ZCTA5 17120,0,0,0,0,0,0,0,NA,0
17202,ZCTA5 17202,29278,25833,931,433,0,0,1406,78385,2575
17210,ZCTA5 17210,163,152,0,0,0,0,0,NA,0
17217,ZCTA5 17217,220,220,0,0,0,0,0,69000,20
17246,ZCTA5 17246,216,216,0,0,0,0,0,71250,36
17247,ZCTA5 17247,501,477,14,0,0,0,5,41417,15
17250,ZCTA5 17250,34,34,0,0,0,0,0,NA,34
17251,ZCTA5 17251,111,111,0,0,0,0,0,84500,0
17256,ZCTA5 17256,186,186,0,0,0,0,0,NA,0
17261,ZCTA5 17261,277,183,75,0,0,0,16,NA,0
17263,ZCTA5 17263,573,573,0,0,0,0,0,65515,99
17272,ZCTA5 17272,376,376,0,0,0,0,0,NA,62
17371,ZCTA5 17371,216,216,0,0,0,0,0,74792,10
17408,ZCTA5 17408,23778,20668,1073,500,31,0,1229,69728,1520
17507,ZCTA5 17507,117,117,0,0,0,0,0,NA,0
17550,ZCTA5 17550,953,831,10,0,0,0,10,NA,135
17606,ZCTA5 17606,413,413,0,0,0,0,0,NA,78
17723,ZCTA5 17723,50,50,0,0,0,0,0,38594,1
17727,ZCTA5 17727,74,74,0,0,0,0,0,44375,2
17779,ZCTA5 17779,386,386,0,0,0,0,0,NA,0
17822,ZCTA5 17822,0,0,0,0,0,0,0,NA,0
17876,ZCTA5 17876,1919,1855,4,0,0,0,52,47946,212
17880,ZCTA5 17880,128,128,0,0,0,0,0,54375,19
17268,ZCTA5 17268,29374,27020,926,57,76,0,1012,58568,3210
17271,ZCTA5 17271,259,259,0,0,0,0,0,46625,83
17094,ZCTA5 17094,2427,2344,20,0,0,0,48,49583,232
17102,ZCTA5 17102,7434,3910,2440,321,0,0,495,44863,1376
17223,ZCTA5 17223,233,229,4,0,0,0,0,38750,36
17224,ZCTA5 17224,1743,1714,0,0,0,0,0,65750,101
17236,ZCTA5 17236,7939,7605,103,20,0,0,156,66098,508
17240,ZCTA5 17240,4001,3983,1,9,0,0,8,68281,167
20427,ZCTA5 20427,0,0,0,0,0,0,0,NA,0
19333,ZCTA5 19333,6911,5238,248,1135,0,0,247,109111,303
19341,ZCTA5 19341,17572,12925,801,2805,0,0,893,103203,727
19344,ZCTA5 19344,11988,11359,325,79,0,0,182,66009,1136
19350,ZCTA5 19350,11424,10014,162,387,0,0,607,139049,182
19403,ZCTA5 19403,46592,34304,4109,4728,21,9,2645,86787,2541
19435,ZCTA5 19435,175,175,0,0,0,0,0,131331,0
19457,ZCTA5 19457,87,68,0,19,0,0,0,NA,0
19137,ZCTA5 19137,8347,7118,304,33,5,0,821,53255,1445
19046,ZCTA5 19046,17660,14919,977,555,0,0,865,103212,888
19047,ZCTA5 19047,34479,29468,1246,1751,28,0,1518,93547,1850
19063,ZCTA5 19063,35764,30838,1571,1880,63,0,670,101599,1240
19075,ZCTA5 19075,7632,6244,502,213,0,0,428,104928,123
19076,ZCTA5 19076,6555,5898,390,46,0,0,48,60694,957
19015,ZCTA5 19015,16809,10982,4552,199,25,0,497,63815,2044
19030,ZCTA5 19030,11792,10049,278,576,0,0,628,71997,937
19038,ZCTA5 19038,31415,24099,4231,974,7,0,1338,97415,1832
19730,ZCTA5 19730,1100,1034,56,0,0,0,10,95460,41
19732,ZCTA5 19732,88,88,0,0,0,0,0,NA,74
19806,ZCTA5 19806,9887,8190,1082,215,0,0,232,77591,790
19954,ZCTA5 19954,1523,1138,243,0,1,0,70,53750,35
19960,ZCTA5 19960,6505,4157,1079,48,0,0,940,58872,505
19966,ZCTA5 19966,29324,22106,3255,378,319,0,2811,59084,3340
19136,ZCTA5 19136,34741,20938,5329,1306,0,0,6118,51101,5876
19081,ZCTA5 19081,9923,8577,405,395,57,0,221,93986,366
19086,ZCTA5 19086,11746,9511,345,1133,73,0,281,118320,431
19106,ZCTA5 19106,12592,9857,1004,695,27,10,720,107388,856
19141,ZCTA5 19141,34701,1441,28572,2176,21,0,1711,32388,9428
19145,ZCTA5 19145,46052,21584,13543,6343,340,0,3663,46540,9189
19367,ZCTA5 19367,76,16,0,0,0,0,60,NA,16
19374,ZCTA5 19374,1086,400,20,0,0,0,666,66250,16
19437,ZCTA5 19437,1122,1054,0,33,0,0,0,175278,0
19444,ZCTA5 19444,10890,9705,309,449,24,0,303,119189,363
19446,ZCTA5 19446,56720,42208,3117,7623,90,0,2571,87158,2375
19453,ZCTA5 19453,1732,1642,0,71,0,0,19,61865,208
19465,ZCTA5 19465,17473,15651,402,486,11,0,641,89953,1028
19519,ZCTA5 19519,134,134,0,0,0,0,0,NA,0
19610,ZCTA5 19610,15417,12427,362,658,0,0,1669,76615,901
19702,ZCTA5 19702,55537,24693,15504,5924,101,19,7553,80419,4401
19703,ZCTA5 19703,15362,8414,4404,1163,77,0,1013,59823,1798
19609,ZCTA5 19609,10476,7644,430,98,32,0,2070,79907,299
19454,ZCTA5 19454,28977,21203,1453,5134,0,20,592,95128,981
19462,ZCTA5 19462,15811,12218,1162,1320,0,0,713,97635,662
19464,ZCTA5 19464,46904,34332,7378,768,11,0,2244,62956,5605
19711,ZCTA5 19711,52547,37790,5252,3732,105,29,4092,77188,7884
19720,ZCTA5 19720,59664,23149,24584,1566,100,48,8522,62879,6860
19002,ZCTA5 19002,32241,25491,1567,2846,10,0,1413,110041,1619
19510,ZCTA5 19510,8710,7388,362,242,0,0,685,92550,286
19506,ZCTA5 19506,7466,6792,77,90,4,0,422,83575,283
19507,ZCTA5 19507,3211,3102,0,32,0,0,77,69063,202
19522,ZCTA5 19522,14034,13086,59,28,0,0,657,77885,1146
19526,ZCTA5 19526,11256,10634,162,39,11,0,306,61161,855
19551,ZCTA5 19551,4844,4453,75,33,0,0,230,77532,236
19554,ZCTA5 19554,396,348,0,0,0,0,39,51711,8
19604,ZCTA5 19604,28346,6262,1548,106,7,0,20018,38450,8375
