geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e
2722472,"Frazee city, Minnesota",1341,1168,21,9,83,0,45,49375,172
2731076,"Inver Grove Heights city, Minnesota",35320,26915,1246,1526,35,0,4644,78347,2651
2761402,"South Haven city, Minnesota",179,174,0,0,1,0,2,51875,17
2759620,"Sherburn city, Minnesota",1033,998,0,3,0,0,14,52857,116
2708452,"Buffalo city, Minnesota",16210,15659,99,125,15,0,185,73955,1050
2730284,"Howard Lake city, Minnesota",1881,1734,48,7,6,0,62,52731,120
2702872,"Aurora city, Minnesota",1775,1717,0,57,1,0,0,38536,399
2706148,"Biwabik city, Minnesota",598,565,0,0,0,0,9,41719,95
2721338,"Floodwood city, Minnesota",449,431,0,0,2,0,10,33424,71
2721032,"Fifty Lakes city, Minnesota",340,328,0,0,0,0,11,48125,45
2746348,"Nisswa city, Minnesota",1817,1734,0,15,2,0,35,67000,92
2743126,"Minneota city, Minnesota",1282,1191,11,14,0,0,63,64500,99
2756428,"Russell city, Minnesota",296,265,2,19,1,0,2,52292,39
2716084,"Donnelly city, Minnesota",244,226,0,4,0,0,0,59375,24
2701864,"Appleton city, Minnesota",1412,1183,39,0,0,55,100,34856,240
2714734,"Danvers city, Minnesota",152,152,0,0,0,0,0,64750,17
2715418,"De Graff city, Minnesota",126,126,0,0,0,0,0,50000,16
2726126,"Grove City city, Minnesota",615,561,0,3,0,0,21,49375,163
2713384,"Correll city, Minnesota",45,45,0,0,0,0,0,49375,6
2718440,"Elbow Lake CDP, Minnesota",79,11,0,0,61,0,2,NA,41
2729402,"Hitterdal city, Minnesota",206,183,0,0,0,0,23,59688,13
2756554,"Sabin city, Minnesota",622,590,0,0,14,0,18,86583,16
2706382,"Blaine city, Minnesota",64114,49383,3723,5484,347,3,3238,84933,3715
2710648,"Centerville city, Minnesota",3985,3651,0,86,14,0,50,107794,56
2711494,"Circle Pines city, Minnesota",4950,4383,106,67,61,0,88,83224,116
2713114,"Coon Rapids city, Minnesota",62517,51041,4994,2158,164,52,1946,71267,3824
2763544,"Sunfish Lake city, Minnesota",542,509,7,10,0,0,10,250001,20
2769700,"West St. Paul city, Minnesota",19779,12868,916,945,36,0,4386,56097,2604
2760250,"Silver Bay city, Minnesota",1722,1620,9,10,1,0,32,47639,84
2727566,"Hatfield city, Minnesota",30,30,0,0,0,0,0,52500,0
2765956,"Two Harbors city, Minnesota",3509,3381,51,0,9,0,47,55813,543
2723246,"Gary city, Minnesota",321,275,20,8,0,0,0,63125,6
2726630,"Halstad city, Minnesota",581,469,24,0,15,0,58,48056,37
2715670,"Denham city, Minnesota",27,27,0,0,0,0,0,NA,5
2756518,"Rutledge city, Minnesota",217,211,0,1,0,0,5,45417,64
2711962,"Climax city, Minnesota",248,220,0,4,1,5,15,52143,17
2720978,"Fertile city, Minnesota",966,913,2,0,8,0,25,51250,120
2721158,"Fisher city, Minnesota",503,465,2,0,0,1,32,69250,50
2726270,"Gully city, Minnesota",70,66,0,0,0,0,0,35500,12
2739050,"McIntosh city, Minnesota",612,542,3,13,31,0,17,39444,83
2715832,"Detroit Lakes city, Minnesota",9197,8257,89,123,311,0,93,49173,1259
2751234,"Pine Point CDP, Minnesota",373,8,0,3,319,0,23,26477,244
2770006,"White Earth CDP, Minnesota",567,19,0,10,466,0,38,20250,261
2712700,"Columbia Heights city, Minnesota",20118,11948,3605,1311,157,15,2122,57882,2399
2753026,"Ramsey city, Minnesota",26638,23656,727,1012,29,0,793,95014,766
2710792,"Ceylon city, Minnesota",332,319,0,0,0,0,8,42500,57
2724884,"Granada city, Minnesota",257,245,0,0,0,0,7,46528,23
2724344,"Gonvick city, Minnesota",260,202,0,9,21,0,3,33864,54
2742092,"Miesville city, Minnesota",119,119,0,0,0,0,0,95625,1
2746024,"New Trier city, Minnesota",93,93,0,0,0,0,0,83750,6
2753098,"Randolph city, Minnesota",481,477,0,0,0,0,0,76042,38
2624120,"East Lansing city, Michigan",48729,35232,3196,6082,122,9,2459,39867,13282
2656320,"Muskegon city, Michigan",37633,19409,11994,93,309,15,3655,32433,8919
