geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e,fullname,shortname
19820,Detroit-Warren-Dearborn,4319629,2847085,946751,205380,12357,1074,200680,63474,540135,"Detroit-Warren-Dearborn, MI Metro Area",Detroit
20500,Durham-Chapel Hill,644367,354223,166096,28432,889,373,72700,65303,85730,"Durham-Chapel Hill, NC Metro Area",Durham
21340,El Paso,843725,98335,25551,9497,2845,100,699471,48823,154535,"El Paso, TX Metro Area",El Paso
23420,Fresno,999101,285269,43602,101152,6251,1811,537180,57518,202698,"Fresno, CA Metro Area",Fresno
24340,Grand Rapids-Kentwood,1077370,839783,66382,27625,2106,48,106409,65739,110098,"Grand Rapids-Kentwood, MI Metro Area",Grand Rapids
24660,Greensboro-High Point,771851,441693,205910,28622,3352,228,68176,51770,123872,"Greensboro-High Point, NC Metro Area",Greensboro
24860,Greenville-Anderson,920477,664937,143302,18599,2316,1504,66451,58621,111996,"Greenville-Anderson, SC Metro Area",Greenville
25420,Harrisburg-Carlisle,577941,437074,61722,25276,968,0,39611,67069,51192,"Harrisburg-Carlisle, PA Metro Area",Harrisburg
25540,Hartford-East Hartford-Middletown,1204877,791250,126858,64143,2369,543,186787,77005,117552,"Hartford-East Hartford-Middletown, CT Metro Area",Hartford
26420,Houston-The Woodlands-Sugar Land,7066140,2481188,1190236,550675,14943,3229,2682311,69193,899953,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston
26900,Indianapolis-Carmel-Anderson,2076531,1481117,316994,76977,2779,177,145561,62502,212842,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis
27140,Jackson,594800,267643,297075,7574,1701,0,13940,52426,88296,"Jackson, MS Metro Area",Jackson
27260,Jacksonville,1559514,967816,331204,57688,5062,757,148108,65880,174904,"Jacksonville, FL Metro Area",Jacksonville
28140,Kansas City,2155068,1552217,263049,62135,6605,4696,200662,70215,219269,"Kansas City, MO-KS Metro Area",Kansas City
28940,Knoxville,869525,746678,49400,13301,3274,443,36375,56623,119834,"Knoxville, TN Metro Area",Knoxville
29460,Lakeland-Winter Haven,724777,410125,106158,12156,2613,88,178402,51833,99344,"Lakeland-Winter Haven, FL Metro Area",Lakeland
29820,Las Vegas-Henderson-Paradise,2266715,935092,269990,222607,10944,16202,717278,62107,287386,"Las Vegas-Henderson-Paradise, NV Metro Area",Las Vegas
30780,Little Rock-North Little Rock-Conway,744483,496372,174799,12124,1624,700,40401,56849,100875,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock
31080,Los Angeles-Long Beach-Anaheim,13214799,3857886,829224,2125243,29631,32318,5963061,77774,1617730,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles
31140,Louisville/Jefferson County,1266389,951059,190032,28292,1402,532,67747,61172,148048,"Louisville/Jefferson County, KY-IN Metro Area",Louisville
31540,Madison,664865,542987,28326,34077,2164,472,39498,75545,57854,"Madison, WI Metro Area",Madison
32580,McAllen-Edinburg-Mission,868707,48417,3622,8088,492,0,803455,41800,234015,"McAllen-Edinburg-Mission, TX Metro Area",McAllen
32820,Memphis,1344910,574888,637447,30021,1902,140,78146,54859,202488,"Memphis, TN-MS-AR Metro Area",Memphis
33100,Miami-Fort Lauderdale-Pompano Beach,6166488,1817027,1233921,152893,8047,2392,2842930,60141,821703,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Miami
33340,Milwaukee-Waukesha,1575179,1038783,254714,59962,5684,473,174755,65845,182983,"Milwaukee-Waukesha, WI Metro Area",Milwaukee
33460,Minneapolis-St. Paul-Bloomington,3640043,2715215,312561,250271,14133,1058,218594,83698,292422,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis
34980,Nashville-Davidson--Murfreesboro--Franklin,1933860,1380076,292433,56774,4422,1243,146971,70262,189007,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville
35300,New Haven-Milford,854757,525972,109184,33958,660,41,163616,69751,100626,"New Haven-Milford, CT Metro Area",New Haven
35380,New Orleans-Metairie,1270530,647623,441694,36914,4984,75,114764,55710,204819,"New Orleans-Metairie, LA Metro Area",New Orleans
35620,New York-Newark-Jersey City,19216182,8674519,3016880,2192841,26584,3373,4808471,83160,2189593,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York
